Atomic Number	Atomic Symbol	Mass Number	Relative Atomic Mass (monoisotopic)	Relative Atomic Mass Uncertainty	Isotopic Composition	Isotopic Composition Uncertainty	Standard Atomic Weight (average mass)	Standard Weight Uncertainty	Notes
23	V	64	63.98264	0.00043			50.9415	0.0001	
23	V	65	64.9875	0.00054			50.9415	0.0001	
23	V	66	65.99398	0.00064			50.9415	0.0001	
24	Cr	42	42.0067	0.00043			51.9961	0.0006	
24	Cr	43	42.99753	0.00043			51.9961	0.0006	
24	Cr	44	43.98536	0.00032			51.9961	0.0006	
24	Cr	45	44.97905	3.8E-05			51.9961	0.0006	
24	Cr	46	45.968359	2.1E-05			51.9961	0.0006	
24	Cr	47	46.9628974	7.5E-06			51.9961	0.0006	
24	Cr	48	47.9540291	7.9E-06			51.9961	0.0006	
24	Cr	49	48.9513333	2.5E-06			51.9961	0.0006	
24	Cr	50	49.94604183	9.4E-07	0.04345	0.00013	51.9961	0.0006	
24	Cr	51	50.94476502	9.4E-07			51.9961	0.0006	
24	Cr	52	51.94050623	6.3E-07	0.83789	0.00018	51.9961	0.0006	
24	Cr	53	52.94064815	6.2E-07	0.09501	0.00017	51.9961	0.0006	
24	Cr	54	53.93887916	6.1E-07	0.02365	7E-05	51.9961	0.0006	
24	Cr	55	54.94083843	6.4E-07			51.9961	0.0006	
24	Cr	56	55.9406531	2E-06			51.9961	0.0006	
24	Cr	57	56.943613	2E-06			51.9961	0.0006	
24	Cr	58	57.94435	0.00022			51.9961	0.0006	
24	Cr	59	58.94859	0.00026			51.9961	0.0006	
24	Cr	60	59.95008	0.00023			51.9961	0.0006	
24	Cr	61	60.95442	0.00014			51.9961	0.0006	
24	Cr	62	61.9561	0.00016			51.9961	0.0006	
24	Cr	63	62.96165	0.00049			51.9961	0.0006	
24	Cr	64	63.96408	0.00032			51.9961	0.0006	
24	Cr	65	64.96996	0.00032			51.9961	0.0006	
24	Cr	66	65.97366	0.00054			51.9961	0.0006	
24	Cr	67	66.98016	0.00054			51.9961	0.0006	
24	Cr	68	67.98403	0.00075			51.9961	0.0006	
25	Mn	44	44.00715	0.00054			54.938044	3E-06	
25	Mn	45	44.99449	0.00043			54.938044	3E-06	
25	Mn	46	45.98609	0.00043			54.938044	3E-06	
25	Mn	47	46.975775	3.4E-05			54.938044	3E-06	
25	Mn	48	47.96852	0.00018			54.938044	3E-06	
25	Mn	49	48.959595	1.1E-05			54.938044	3E-06	
25	Mn	50	49.95423778	9.5E-07			54.938044	3E-06	
25	Mn	51	50.94820847	9.4E-07			54.938044	3E-06	
25	Mn	52	51.9455639	2E-06			54.938044	3E-06	
25	Mn	53	52.94128889	6.8E-07			54.938044	3E-06	
25	Mn	54	53.9403576	1.2E-06			54.938044	3E-06	
25	Mn	55	54.93804391	4.8E-07	1		54.938044	3E-06	
25	Mn	56	55.93890369	4.9E-07			54.938044	3E-06	
25	Mn	57	56.9382861	1.6E-06			54.938044	3E-06	
25	Mn	58	57.9400666	2.9E-06			54.938044	3E-06	
25	Mn	59	58.9403911	2.5E-06			54.938044	3E-06	
25	Mn	60	59.9431366	2.5E-06			54.938044	3E-06	
25	Mn	61	60.9444525	2.5E-06			54.938044	3E-06	
25	Mn	62	61.94795	0.00016			54.938044	3E-06	
25	Mn	63	62.9496647	4E-06			54.938044	3E-06	
25	Mn	64	63.9538494	3.8E-06			54.938044	3E-06	
25	Mn	65	64.9560198	4E-06			54.938044	3E-06	
25	Mn	66	65.960547	1.2E-05			54.938044	3E-06	
25	Mn	67	66.96424	0.00043			54.938044	3E-06	
25	Mn	68	67.96962	0.00054			54.938044	3E-06	
25	Mn	69	68.97366	0.00064			54.938044	3E-06	
25	Mn	70	69.97937	0.00075			54.938044	3E-06	
25	Mn	71	70.98368	0.00075			54.938044	3E-06	
26	Fe	45	45.01442	0.00043			55.845	0.002	
26	Fe	46	46.00063	0.00054			55.845	0.002	
26	Fe	47	46.99185	0.00054			55.845	0.002	
26	Fe	48	47.98023	0.00043			55.845	0.002	
26	Fe	49	48.973429	2.6E-05			55.845	0.002	
26	Fe	50	49.962975	6.4E-05			55.845	0.002	
26	Fe	51	50.956841	9.6E-06			55.845	0.002	
26	Fe	52	51.9481131	7E-06			55.845	0.002	
26	Fe	53	52.9453064	1.8E-06			55.845	0.002	
26	Fe	54	53.93960899	5.3E-07	0.05845	0.00035	55.845	0.002	
26	Fe	55	54.93829199	5.1E-07			55.845	0.002	
26	Fe	56	55.93493633	4.9E-07	0.91754	0.00036	55.845	0.002	
26	Fe	57	56.93539284	4.9E-07	0.02119	0.0001	55.845	0.002	
26	Fe	58	57.93327443	5.3E-07	0.00282	4E-05	55.845	0.002	
26	Fe	59	58.93487434	5.4E-07			55.845	0.002	
26	Fe	60	59.9340711	3.7E-06			55.845	0.002	
26	Fe	61	60.9367462	2.8E-06			55.845	0.002	
26	Fe	62	61.9367918	3E-06			55.845	0.002	
26	Fe	63	62.9402727	4.6E-06			55.845	0.002	
26	Fe	64	63.9409878	5.4E-06			55.845	0.002	
26	Fe	65	64.9450115	7.3E-06			55.845	0.002	
26	Fe	66	65.94625	4.4E-06			55.845	0.002	
26	Fe	67	66.95054	0.00023			55.845	0.002	
26	Fe	68	67.95295	0.00039			55.845	0.002	
26	Fe	69	68.95807	0.00043			55.845	0.002	
26	Fe	70	69.96102	0.00054			55.845	0.002	
26	Fe	71	70.96672	0.00064			55.845	0.002	
26	Fe	72	71.96983	0.00075			55.845	0.002	
26	Fe	73	72.97572	0.00075			55.845	0.002	
26	Fe	74	73.97935	0.00086			55.845	0.002	
27	Co	47	47.01057	0.00086			58.933194	4E-06	
27	Co	48	48.00093	0.00086			58.933194	4E-06	
27	Co	49	48.98891	0.00075			58.933194	4E-06	
27	Co	50	49.98091	0.00064			58.933194	4E-06	
27	Co	51	50.970647	5.2E-05			58.933194	4E-06	
27	Co	52	51.96351	0.00021			58.933194	4E-06	
27	Co	53	52.9542041	1.9E-06			58.933194	4E-06	
27	Co	54	53.94845987	5.4E-07			58.933194	4E-06	
27	Co	55	54.9419972	5.7E-07			58.933194	4E-06	
27	Co	56	55.9398388	6.3E-07			58.933194	4E-06	
27	Co	57	56.93629057	6.6E-07			58.933194	4E-06	
27	Co	58	57.9357521	1.3E-06			58.933194	4E-06	
27	Co	59	58.93319429	5.6E-07	1		58.933194	4E-06	
27	Co	60	59.9338163	5.6E-07			58.933194	4E-06	
27	Co	61	60.93247662	9.5E-07			58.933194	4E-06	
27	Co	62	61.934059	2E-05			58.933194	4E-06	
27	Co	63	62.9336	2E-05			58.933194	4E-06	
27	Co	64	63.935811	2.1E-05			58.933194	4E-06	
27	Co	65	64.9364621	2.2E-06			58.933194	4E-06	
27	Co	66	65.939443	1.5E-05			58.933194	4E-06	
27	Co	67	66.9406096	6.9E-06			58.933194	4E-06	
27	Co	68	67.94426	0.00016			58.933194	4E-06	
27	Co	69	68.94614	0.0002			58.933194	4E-06	
27	Co	70	69.94963	0.00032			58.933194	4E-06	
27	Co	71	70.95237	0.0005			58.933194	4E-06	
27	Co	72	71.95729	0.00043			58.933194	4E-06	
27	Co	73	72.96039	0.00054			58.933194	4E-06	
27	Co	74	73.96515	0.00064			58.933194	4E-06	
27	Co	75	74.96876	0.00075			58.933194	4E-06	
27	Co	76	75.97413	0.00086			58.933194	4E-06	
28	Ni	48	48.01769	0.00054			58.6934	0.0004	r
28	Ni	49	49.0077	0.00086			58.6934	0.0004	r
28	Ni	50	49.99474	0.00086			58.6934	0.0004	r
28	Ni	51	50.98611	0.00086			58.6934	0.0004	r
28	Ni	52	51.9748	0.00075			58.6934	0.0004	r
28	Ni	53	52.96819	2.7E-05			58.6934	0.0004	r
28	Ni	54	53.957892	5.4E-05			58.6934	0.0004	r
28	Ni	55	54.95133063	8.5E-07			58.6934	0.0004	r
28	Ni	56	55.94212855	5.7E-07			58.6934	0.0004	r
28	Ni	57	56.93979218	7.1E-07			58.6934	0.0004	r
28	Ni	58	57.93534241	5.2E-07	0.68077	0.00019	58.6934	0.0004	r
28	Ni	59	58.9343462	5.2E-07			58.6934	0.0004	r
28	Ni	60	59.93078588	5.2E-07	0.26223	0.00015	58.6934	0.0004	r
28	Ni	61	60.93105557	5.2E-07	0.011399	1.3E-05	58.6934	0.0004	r
28	Ni	62	61.92834537	5.5E-07	0.036346	4E-05	58.6934	0.0004	r
28	Ni	63	62.92966963	5.6E-07			58.6934	0.0004	r
28	Ni	64	63.92796682	5.8E-07	0.009255	1.9E-05	58.6934	0.0004	r
28	Ni	65	64.93008517	6E-07			58.6934	0.0004	r
28	Ni	66	65.9291393	1.5E-06			58.6934	0.0004	r
28	Ni	67	66.9315694	3.1E-06			58.6934	0.0004	r
28	Ni	68	67.9318688	3.2E-06			58.6934	0.0004	r
28	Ni	69	68.9356103	4E-06			58.6934	0.0004	r
28	Ni	70	69.9364313	2.3E-06			58.6934	0.0004	r
28	Ni	71	70.940519	2.4E-06			58.6934	0.0004	r
28	Ni	72	71.9417859	2.4E-06			58.6934	0.0004	r
28	Ni	73	72.9462067	2.6E-06			58.6934	0.0004	r
28	Ni	74	73.94798	0.00043			58.6934	0.0004	r
28	Ni	75	74.9525	0.00032			58.6934	0.0004	r
28	Ni	76	75.95533	0.00054			58.6934	0.0004	r
28	Ni	77	76.96055	0.00054			58.6934	0.0004	r
28	Ni	78	77.96336	0.00086			58.6934	0.0004	r
28	Ni	79	78.97025	0.00086			58.6934	0.0004	r
29	Cu	52	51.99671	0.00086			63.546	0.003	r
29	Cu	53	52.98459	0.00086			63.546	0.003	r
29	Cu	54	53.97666	0.00054			63.546	0.003	r
29	Cu	55	54.96604	0.00017			63.546	0.003	r
29	Cu	56	55.95895	0.00021			63.546	0.003	r
29	Cu	57	56.9492125	6.6E-07			63.546	0.003	r
29	Cu	58	57.94453305	7E-07			63.546	0.003	r
29	Cu	59	58.93949748	6.7E-07			63.546	0.003	r
29	Cu	60	59.9373645	1.8E-06			63.546	0.003	r
29	Cu	61	60.9334576	1E-06			63.546	0.003	r
29	Cu	62	61.93259541	7.5E-07			63.546	0.003	r
29	Cu	63	62.92959772	5.6E-07	0.6915	0.0015	63.546	0.003	r
29	Cu	64	63.92976434	5.6E-07			63.546	0.003	r
29	Cu	65	64.9277897	7.1E-07	0.3085	0.0015	63.546	0.003	r
29	Cu	66	65.92886903	7.2E-07			63.546	0.003	r
29	Cu	67	66.9277303	1.3E-06			63.546	0.003	r
29	Cu	68	67.9296109	1.7E-06			63.546	0.003	r
29	Cu	69	68.9294293	1.5E-06			63.546	0.003	r
29	Cu	70	69.9323921	1.2E-06			63.546	0.003	r
29	Cu	71	70.9326768	1.6E-06			63.546	0.003	r
29	Cu	72	71.9358203	1.5E-06			63.546	0.003	r
29	Cu	73	72.9366744	2.1E-06			63.546	0.003	r
29	Cu	74	73.9398749	6.6E-06			63.546	0.003	r
29	Cu	75	74.9415226	2.5E-06			63.546	0.003	r
29	Cu	76	75.945275	7.2E-06			63.546	0.003	r
29	Cu	77	76.94792	0.00016			63.546	0.003	r
29	Cu	78	77.95223	0.00054			63.546	0.003	r
29	Cu	79	78.95502	0.00043			63.546	0.003	r
29	Cu	80	79.96089	0.00064			63.546	0.003	r
29	Cu	81	80.96587	0.00086			63.546	0.003	r
29	Cu	82	81.97244	0.00086			63.546	0.003	r
30	Zn	54	53.99204	0.00075			65.38	0.02	r
30	Zn	55	54.98398	0.00075			65.38	0.02	r
30	Zn	56	55.97254	0.00054			65.38	0.02	r
30	Zn	57	56.96506	0.00022			65.38	0.02	r
30	Zn	58	57.954591	5.4E-05			65.38	0.02	r
30	Zn	59	58.94931266	8.9E-07			65.38	0.02	r
30	Zn	60	59.9418421	6.9E-07			65.38	0.02	r
30	Zn	61	60.939507	1.7E-05			65.38	0.02	r
30	Zn	62	61.93433397	7.3E-07			65.38	0.02	r
30	Zn	63	62.9332115	1.7E-06			65.38	0.02	r
30	Zn	64	63.92914201	7.1E-07	0.4917	0.0075	65.38	0.02	r
30	Zn	65	64.92924077	7.1E-07			65.38	0.02	r
30	Zn	66	65.92603381	9.4E-07	0.2773	0.0098	65.38	0.02	r
30	Zn	67	66.92712775	9.6E-07	0.0404	0.0016	65.38	0.02	r
30	Zn	68	67.92484455	9.8E-07	0.1845	0.0063	65.38	0.02	r
30	Zn	69	68.9265507	1E-06			65.38	0.02	r
30	Zn	70	69.9253192	2.1E-06	0.0061	0.001	65.38	0.02	r
30	Zn	71	70.9277196	2.8E-06			65.38	0.02	r
30	Zn	72	71.9268428	2.3E-06			65.38	0.02	r
30	Zn	73	72.9295826	2E-06			65.38	0.02	r
30	Zn	74	73.9294073	2.7E-06			65.38	0.02	r
30	Zn	75	74.9328402	2.1E-06			65.38	0.02	r
30	Zn	76	75.933115	1.6E-06			65.38	0.02	r
30	Zn	77	76.9368872	2.1E-06			65.38	0.02	r
30	Zn	78	77.9382892	2.1E-06			65.38	0.02	r
30	Zn	79	78.9426381	2.4E-06			65.38	0.02	r
30	Zn	80	79.9445529	2.8E-06			65.38	0.02	r
30	Zn	81	80.9504026	5.4E-06			65.38	0.02	r
30	Zn	82	81.95426	0.00032			65.38	0.02	r
30	Zn	83	82.96056	0.00054			65.38	0.02	r
30	Zn	84	83.96521	0.00064			65.38	0.02	r
30	Zn	85	84.97226	0.00075			65.38	0.02	r
31	Ga	56	55.99536	0.00064			69.723	0.001	
31	Ga	57	56.9832	0.00032			69.723	0.001	
31	Ga	58	57.97478	0.00021			69.723	0.001	
31	Ga	59	58.96353	0.00018			69.723	0.001	
31	Ga	60	59.95729	0.00021			69.723	0.001	
31	Ga	61	60.949399	4.1E-05			69.723	0.001	
31	Ga	62	61.94419025	7.5E-07			69.723	0.001	
31	Ga	63	62.9392942	1.4E-06			69.723	0.001	
31	Ga	64	63.9368404	1.5E-06			69.723	0.001	
31	Ga	65	64.93273459	8.8E-07			69.723	0.001	
31	Ga	66	65.9315894	3.4E-06			69.723	0.001	
31	Ga	67	66.9282025	1.3E-06			69.723	0.001	
31	Ga	68	67.9279805	1.6E-06			69.723	0.001	
31	Ga	69	68.9255735	1.3E-06	0.60108	9E-05	69.723	0.001	
31	Ga	70	69.9260219	1.3E-06			69.723	0.001	
31	Ga	71	70.92470258	8.7E-07	0.39892	9E-05	69.723	0.001	
31	Ga	72	71.92636747	8.8E-07			69.723	0.001	
31	Ga	73	72.9251747	1.8E-06			69.723	0.001	
31	Ga	74	73.9269457	3.2E-06			69.723	0.001	
31	Ga	75	74.9265002	2.6E-06			69.723	0.001	
31	Ga	76	75.9288276	2.1E-06			69.723	0.001	
31	Ga	77	76.9291543	2.6E-06			69.723	0.001	
31	Ga	78	77.9316088	2E-06			69.723	0.001	
31	Ga	79	78.9328523	2E-06			69.723	0.001	
31	Ga	80	79.9364208	3.1E-06			69.723	0.001	
31	Ga	81	80.9381338	3.5E-06			69.723	0.001	
31	Ga	82	81.9431765	2.6E-06			69.723	0.001	
31	Ga	83	82.9471203	2.8E-06			69.723	0.001	
31	Ga	84	83.95246	0.00043			69.723	0.001	
31	Ga	85	84.95699	0.00032			69.723	0.001	
31	Ga	86	85.96301	0.00075			69.723	0.001	
31	Ga	87	86.96824	0.00086			69.723	0.001	
32	Ge	58	57.99172	0.00043			72.63	0.008	
32	Ge	59	58.98249	0.00032			72.63	0.008	
32	Ge	60	59.97036	0.00021			72.63	0.008	
32	Ge	61	60.96379	0.00032			72.63	0.008	
32	Ge	62	61.95502	0.00015			72.63	0.008	
32	Ge	63	62.949628	4E-05			72.63	0.008	
32	Ge	64	63.9416899	4E-06			72.63	0.008	
32	Ge	65	64.9393681	2.3E-06			72.63	0.008	
32	Ge	66	65.9338621	2.6E-06			72.63	0.008	
32	Ge	67	66.9327339	5E-06			72.63	0.008	
32	Ge	68	67.9280953	2E-06			72.63	0.008	
32	Ge	69	68.9279645	1.4E-06			72.63	0.008	
32	Ge	70	69.92424875	9E-07	0.2057	0.0027	72.63	0.008	
32	Ge	71	70.92495233	9E-07			72.63	0.008	
32	Ge	72	71.922075826	8.1E-08	0.2745	0.0032	72.63	0.008	
32	Ge	73	72.923458956	6.1E-08	0.0775	0.0012	72.63	0.008	
32	Ge	74	73.921177761	1.3E-08	0.365	0.002	72.63	0.008	
32	Ge	75	74.92285837	5.5E-08			72.63	0.008	
32	Ge	76	75.921402726	1.9E-08	0.0773	0.0012	72.63	0.008	
32	Ge	77	76.923549843	5.7E-08			72.63	0.008	
32	Ge	78	77.9228529	3.8E-06			72.63	0.008	
32	Ge	79	78.92536	4E-05			72.63	0.008	
32	Ge	80	79.9253508	2.2E-06			72.63	0.008	
32	Ge	81	80.9288329	2.2E-06			72.63	0.008	
32	Ge	82	81.929774	2.4E-06			72.63	0.008	
32	Ge	83	82.9345391	2.6E-06			72.63	0.008	
32	Ge	84	83.9375751	3.4E-06			72.63	0.008	
32	Ge	85	84.9429697	4E-06			72.63	0.008	
32	Ge	86	85.94658	0.00032			72.63	0.008	
32	Ge	87	86.95268	0.00043			72.63	0.008	
32	Ge	88	87.95691	0.00054			72.63	0.008	
32	Ge	89	88.96379	0.00064			72.63	0.008	
32	Ge	90	89.96863	0.00075			72.63	0.008	
33	As	60	59.99388	0.00043			74.921595	6E-06	
33	As	61	60.98112	0.00032			74.921595	6E-06	
33	As	62	61.97361	0.00032			74.921595	6E-06	
33	As	63	62.9639	0.00021			74.921595	6E-06	
33	As	64	63.95743	0.00033			74.921595	6E-06	
33	As	65	64.949611	9.1E-05			74.921595	6E-06	
33	As	66	65.9441488	6.1E-06			74.921595	6E-06	
33	As	67	66.93925111	4.8E-07			74.921595	6E-06	
33	As	68	67.9367741	2E-06			74.921595	6E-06	
33	As	69	68.932246	3.4E-05			74.921595	6E-06	
33	As	70	69.930926	5.4E-05			74.921595	6E-06	
33	As	71	70.9271138	4.5E-06			74.921595	6E-06	
33	As	72	71.9267523	4.4E-06			74.921595	6E-06	
33	As	73	72.9238291	4.1E-06			74.921595	6E-06	
33	As	74	73.9239286	1.8E-06			74.921595	6E-06	
33	As	75	74.92159457	9.5E-07	1		74.921595	6E-06	
33	As	76	75.92239202	9.5E-07			74.921595	6E-06	
33	As	77	76.9206476	1.8E-06			74.921595	6E-06	
33	As	78	77.921828	1.1E-05			74.921595	6E-06	
33	As	79	78.9209484	5.8E-06			74.921595	6E-06	
33	As	80	79.9224746	3.6E-06			74.921595	6E-06	
33	As	81	80.9221323	2.9E-06			74.921595	6E-06	
33	As	82	81.9247412	4.6E-06			74.921595	6E-06	
33	As	83	82.9252069	3E-06			74.921595	6E-06	
33	As	84	83.9293033	3.4E-06			74.921595	6E-06	
33	As	85	84.9321637	3.3E-06			74.921595	6E-06	
33	As	86	85.9367015	3.7E-06			74.921595	6E-06	
33	As	87	86.9402917	3.2E-06			74.921595	6E-06	
33	As	88	87.94555	0.00021			74.921595	6E-06	
33	As	89	88.94976	0.00032			74.921595	6E-06	
33	As	90	89.95563	0.00064			74.921595	6E-06	
33	As	91	90.96039	0.00064			74.921595	6E-06	
33	As	92	91.96674	0.00075			74.921595	6E-06	
34	Se	64	63.97109	0.00054			78.971	0.008	r
34	Se	65	64.9644	0.00064			78.971	0.008	r
34	Se	66	65.95559	0.00032			78.971	0.008	r
34	Se	67	66.949994	7.2E-05			78.971	0.008	r
34	Se	68	67.94182524	5.3E-07			78.971	0.008	r
34	Se	69	68.9394148	1.6E-06			78.971	0.008	r
34	Se	70	69.9335155	1.7E-06			78.971	0.008	r
34	Se	71	70.9322094	3E-06			78.971	0.008	r
34	Se	72	71.9271405	2.1E-06			78.971	0.008	r
34	Se	73	72.9267549	8E-06			78.971	0.008	r
34	Se	74	73.922475934	1.5E-08	0.0089	0.0004	78.971	0.008	r
34	Se	75	74.92252287	7.8E-08			78.971	0.008	r
34	Se	76	75.919213704	1.7E-08	0.0937	0.0029	78.971	0.008	r
34	Se	77	76.919914154	6.7E-08	0.0763	0.0016	78.971	0.008	r
34	Se	78	77.91730928	2E-07	0.2377	0.0028	78.971	0.008	r
34	Se	79	78.91849929	2.4E-07			78.971	0.008	r
34	Se	80	79.9165218	1.3E-06	0.4961	0.0041	78.971	0.008	r
34	Se	81	80.917993	1.4E-06			78.971	0.008	r
34	Se	82	81.9166995	1.5E-06	0.0873	0.0022	78.971	0.008	r
34	Se	83	82.9191186	3.6E-06			78.971	0.008	r
34	Se	84	83.9184668	2.1E-06			78.971	0.008	r
34	Se	85	84.9222608	2.8E-06			78.971	0.008	r
34	Se	86	85.9243117	2.7E-06			78.971	0.008	r
34	Se	87	86.9286886	2.4E-06			78.971	0.008	r
34	Se	88	87.9314175	3.6E-06			78.971	0.008	r
34	Se	89	88.9366691	4E-06			78.971	0.008	r
34	Se	90	89.9401	0.00035			78.971	0.008	r
34	Se	91	90.94596	0.00054			78.971	0.008	r
34	Se	92	91.94984	0.00064			78.971	0.008	r
34	Se	93	92.95629	0.00086			78.971	0.008	r
34	Se	94	93.96049	0.00086			78.971	0.008	r
34	Se	95	94.9673	0.00086			78.971	0.008	r
35	Br	67	66.96465	0.00054			79.904	0.003	
35	Br	68	67.95873	0.00033			79.904	0.003	
35	Br	69	68.950497	4E-05			79.904	0.003	
35	Br	70	69.944792	1.6E-05			79.904	0.003	
35	Br	71	70.9393422	5.8E-06			79.904	0.003	
35	Br	72	71.9365886	7.2E-06			79.904	0.003	
35	Br	73	72.9316715	7.8E-06			79.904	0.003	
35	Br	74	73.9299102	6.3E-06			79.904	0.003	
35	Br	75	74.9258105	4.6E-06			79.904	0.003	
35	Br	76	75.924542	1E-05			79.904	0.003	
35	Br	77	76.9213792	3E-06			79.904	0.003	
35	Br	78	77.9211459	3.8E-06			79.904	0.003	
35	Br	79	78.9183376	1.4E-06	0.5069	0.0007	79.904	0.003	
35	Br	80	79.9185298	1.4E-06			79.904	0.003	
35	Br	81	80.9162897	1.4E-06	0.4931	0.0007	79.904	0.003	
35	Br	82	81.9168032	1.4E-06			79.904	0.003	
35	Br	83	82.9151756	4.1E-06			79.904	0.003	
35	Br	84	83.916496	2.8E-05			79.904	0.003	
35	Br	85	84.9156458	3.3E-06			79.904	0.003	
35	Br	86	85.9188054	3.3E-06			79.904	0.003	
35	Br	87	86.920674	3.4E-06			79.904	0.003	
35	Br	88	87.9240833	3.4E-06			79.904	0.003	
35	Br	89	88.9267046	3.5E-06			79.904	0.003	
35	Br	90	89.9312928	3.6E-06			79.904	0.003	
35	Br	91	90.9343986	3.8E-06			79.904	0.003	
35	Br	92	91.9396316	7.2E-06			79.904	0.003	
35	Br	93	92.94313	0.00048			79.904	0.003	
35	Br	94	93.9489	0.00043			79.904	0.003	
35	Br	95	94.95301	0.00021			79.904	0.003	
35	Br	96	95.95903	0.00032			79.904	0.003	
35	Br	97	96.96344	0.00043			79.904	0.003	
35	Br	98	97.96946	0.00043			79.904	0.003	
36	Kr	69	68.96518	0.00043			83.798	0.002	g,m
36	Kr	70	69.95604	0.00021			83.798	0.002	g,m
36	Kr	71	70.95027	0.00014			83.798	0.002	g,m
36	Kr	72	71.9420924	8.6E-06			83.798	0.002	g,m
36	Kr	73	72.9392892	7.1E-06			83.798	0.002	g,m
36	Kr	74	73.933084	2.2E-06			83.798	0.002	g,m
36	Kr	75	74.9309457	8.7E-06			83.798	0.002	g,m
36	Kr	76	75.9259103	4.3E-06			83.798	0.002	g,m
36	Kr	77	76.92467	2.1E-06			83.798	0.002	g,m
36	Kr	78	77.92036494	7.6E-07	0.00355	3E-05	83.798	0.002	g,m
36	Kr	79	78.9200829	3.8E-06			83.798	0.002	g,m
36	Kr	80	79.91637808	7.5E-07	0.02286	0.0001	83.798	0.002	g,m
36	Kr	81	80.9165912	1.5E-06			83.798	0.002	g,m
36	Kr	82	81.91348273	9.4E-07	0.11593	0.00031	83.798	0.002	g,m
36	Kr	83	82.91412716	3.2E-07	0.115	0.00019	83.798	0.002	g,m
36	Kr	84	83.9114977282	4.4E-09	0.56987	0.00015	83.798	0.002	g,m
36	Kr	85	84.9125273	2.1E-06			83.798	0.002	g,m
36	Kr	86	85.9106106269	4.1E-09	0.17279	0.00041	83.798	0.002	g,m
36	Kr	87	86.91335476	2.6E-07			83.798	0.002	g,m
36	Kr	88	87.9144479	2.8E-06			83.798	0.002	g,m
36	Kr	89	88.9178355	2.3E-06			83.798	0.002	g,m
36	Kr	90	89.9195279	2E-06			83.798	0.002	g,m
36	Kr	91	90.9238063	2.4E-06			83.798	0.002	g,m
36	Kr	92	91.9261731	2.9E-06			83.798	0.002	g,m
36	Kr	93	92.9311472	2.7E-06			83.798	0.002	g,m
36	Kr	94	93.93414	1.3E-05			83.798	0.002	g,m
36	Kr	95	94.939711	2E-05			83.798	0.002	g,m
36	Kr	96	95.943017	2.2E-05			83.798	0.002	g,m
36	Kr	97	96.94909	0.00014			83.798	0.002	g,m
36	Kr	98	97.95243	0.00032			83.798	0.002	g,m
36	Kr	99	98.95839	0.00054			83.798	0.002	g,m
36	Kr	100	99.96237	0.00043			83.798	0.002	g,m
36	Kr	101	100.96873	0.00054			83.798	0.002	g,m
37	Rb	71	70.96532	0.00054			85.4678	0.0003	g
37	Rb	72	71.95908	0.00054			85.4678	0.0003	g
37	Rb	73	72.95053	0.00011			85.4678	0.0003	g
37	Rb	74	73.9442659	3.2E-06			85.4678	0.0003	g
37	Rb	75	74.9385732	1.3E-06			85.4678	0.0003	g
37	Rb	76	75.935073	1E-06			85.4678	0.0003	g
37	Rb	77	76.9304016	1.4E-06			85.4678	0.0003	g
37	Rb	78	77.9281419	3.5E-06			85.4678	0.0003	g
37	Rb	79	78.9239899	2.3E-06			85.4678	0.0003	g
37	Rb	80	79.9225164	2E-06			85.4678	0.0003	g
37	Rb	81	80.9189939	5.3E-06			85.4678	0.0003	g
37	Rb	82	81.918209	3.2E-06			85.4678	0.0003	g
37	Rb	83	82.9151142	2.5E-06			85.4678	0.0003	g
37	Rb	84	83.9143752	2.4E-06			85.4678	0.0003	g
37	Rb	85	84.9117897379	5.4E-09	0.7217	0.0002	85.4678	0.0003	g
37	Rb	86	85.91116743	2.1E-07			85.4678	0.0003	g
37	Rb	87	86.909180531	6E-09	0.2783	0.0002	85.4678	0.0003	g
37	Rb	88	87.91131559	1.7E-07			85.4678	0.0003	g
37	Rb	89	88.9122783	5.9E-06			85.4678	0.0003	g
37	Rb	90	89.9147985	7E-06			85.4678	0.0003	g
37	Rb	91	90.9165372	8.4E-06			85.4678	0.0003	g
37	Rb	92	91.9197284	6.6E-06			85.4678	0.0003	g
37	Rb	93	92.9220393	8.4E-06			85.4678	0.0003	g
37	Rb	94	93.9263948	2.2E-06			85.4678	0.0003	g
37	Rb	95	94.92926	2.2E-05			85.4678	0.0003	g
37	Rb	96	95.9341334	3.6E-06			85.4678	0.0003	g
37	Rb	97	96.9371771	2.1E-06			85.4678	0.0003	g
37	Rb	98	97.9416869	3.7E-06			85.4678	0.0003	g
37	Rb	99	98.94503	0.00012			85.4678	0.0003	g
37	Rb	100	99.95003	0.00021			85.4678	0.0003	g
37	Rb	101	100.95404	0.00023			85.4678	0.0003	g
37	Rb	102	101.95952	0.00032			85.4678	0.0003	g
37	Rb	103	102.96392	0.00043			85.4678	0.0003	g
38	Sr	73	72.9657	0.00043			87.62	0.01	g,r
38	Sr	74	73.95617	0.00011			87.62	0.01	g,r
38	Sr	75	74.94995	0.00024			87.62	0.01	g,r
38	Sr	76	75.941763	3.7E-05			87.62	0.01	g,r
38	Sr	77	76.9379455	8.5E-06			87.62	0.01	g,r
38	Sr	78	77.93218	8E-06			87.62	0.01	g,r
38	Sr	79	78.9297077	9E-06			87.62	0.01	g,r
38	Sr	80	79.9245175	3.7E-06			87.62	0.01	g,r
38	Sr	81	80.9232114	3.4E-06			87.62	0.01	g,r
